candidate,office,district,party,county,precinct,votes,vtd
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-3,214,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-3,218,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-3,62,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-3,208,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-3,70,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 7-3,235,
,Registered Voters,,,Wyandotte,Kansas City 7-4,868,
,Ballots Cast,,,Wyandotte,Kansas City 7-4,442,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-4,16,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-4,238,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-4,182,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-4,18,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-4,238,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-4,5,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-4,150,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-4,27,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-4,22,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-4,217,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-4,184,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-4,188,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-4,231,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-4,236,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-4,177,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-4,217,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-4,198,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 7-4,301,
,Registered Voters,,,Wyandotte,Kansas City 7-5,225,
,Ballots Cast,,,Wyandotte,Kansas City 7-5,99,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-5,5,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-5,74,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-5,19,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-5,2,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-5,76,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-5,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-5,18,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-5,1,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-5,2,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-5,73,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-5,20,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-5,25,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-5,73,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-5,71,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-5,23,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-5,68,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-5,25,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 7-5,83,
,Registered Voters,,,Wyandotte,Kansas City 7-6,1051,
,Ballots Cast,,,Wyandotte,Kansas City 7-6,514,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-6,27,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-6,388,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-6,95,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-6,17,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-6,376,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-6,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-6,88,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-6,24,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-6,24,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-6,366,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-6,115,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-6,121,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-6,385,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-6,384,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-6,115,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-6,364,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-6,132,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 7-6,427,
,Registered Voters,,,Wyandotte,Kansas City 7-7,442,
,Ballots Cast,,,Wyandotte,Kansas City 7-7,164,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-7,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-7,135,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-7,25,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-7,3,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-7,130,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-7,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-7,23,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-7,4,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-7,8,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-7,128,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-7,24,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-7,27,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-7,133,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-7,137,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-7,26,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-7,126,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-7,34,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 7-7,139,
,Registered Voters,,,Wyandotte,Kansas City 7-8,1353,
,Ballots Cast,,,Wyandotte,Kansas City 7-8,693,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-8,28,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-8,463,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-8,195,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-8,24,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-8,446,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-8,4,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-8,184,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-8,28,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-8,36,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-8,436,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-8,202,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-8,213,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-8,467,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-8,463,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-8,211,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-8,446,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-8,229,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 7-8,534,
,Registered Voters,,,Wyandotte,Kansas City 7-9,1018,
,Ballots Cast,,,Wyandotte,Kansas City 7-9,492,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 7-9,19,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 7-9,273,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 7-9,197,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 7-9,18,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 7-9,271,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 7-9,8,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 7-9,160,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 7-9,30,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 7-9,27,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 7-9,257,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 7-9,198,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 7-9,189,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 7-9,287,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 7-9,270,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 7-9,200,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 7-9,266,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 7-9,205,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 7-9,349,
,Registered Voters,,,Wyandotte,Kansas City 8-1,962,
,Ballots Cast,,,Wyandotte,Kansas City 8-1,481,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 8-1,16,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 8-1,382,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 8-1,82,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 8-1,14,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 8-1,381,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 8-1,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 8-1,64,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 8-1,17,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 8-1,20,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 8-1,377,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 8-1,78,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 8-1,88,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 8-1,390,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 8-1,386,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 8-1,88,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 8-1,372,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 8-1,99,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 8-1,408,
,Registered Voters,,,Wyandotte,Kansas City 8-2,885,
,Ballots Cast,,,Wyandotte,Kansas City 8-2,474,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 8-2,14,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 8-2,390,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 8-2,64,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 8-2,18,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 8-2,378,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 8-2,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 8-2,51,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 8-2,22,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 8-2,16,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 8-2,386,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 8-2,63,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 8-2,75,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 8-2,390,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 8-2,385,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 8-2,77,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 8-2,360,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 8-2,101,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 8-2,414,
,Registered Voters,,,Wyandotte,Kansas City 8-3,1140,
,Ballots Cast,,,Wyandotte,Kansas City 8-3,697,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 8-3,16,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 8-3,575,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 8-3,105,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 8-3,19,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 8-3,558,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 8-3,5,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 8-3,86,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 8-3,27,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 8-3,30,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 8-3,540,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 8-3,118,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 8-3,133,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 8-3,550,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 8-3,554,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 8-3,129,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 8-3,524,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 8-3,156,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 8-3,608,
,Registered Voters,,,Wyandotte,Kansas City 8-4,929,
,Ballots Cast,,,Wyandotte,Kansas City 8-4,426,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 8-4,12,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 8-4,329,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 8-4,85,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 8-4,18,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 8-4,317,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 8-4,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 8-4,73,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 8-4,16,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 8-4,19,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 8-4,308,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 8-4,90,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 8-4,95,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 8-4,325,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 8-4,319,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 8-4,98,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 8-4,303,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 8-4,113,
Louis E. Ruiz,State House,31,Democratic,Wyandotte,Kansas City 8-4,358,
,Registered Voters,,,Wyandotte,Kansas City 9-1,152,
,Ballots Cast,,,Wyandotte,Kansas City 9-1,72,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-1,0,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-1,51,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-1,19,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-1,5,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-1,46,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-1,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-1,17,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-1,4,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-1,6,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-1,43,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-1,22,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-1,23,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-1,48,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-1,47,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-1,24,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-1,48,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-1,18,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 9-1,59,
,Registered Voters,,,Wyandotte,Kansas City 9-2,712,
,Ballots Cast,,,Wyandotte,Kansas City 9-2,313,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-2,7,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-2,223,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-2,83,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-2,10,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-2,215,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-2,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-2,69,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-2,14,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-2,9,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-2,203,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-2,90,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-2,82,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-2,224,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-2,209,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-2,86,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-2,210,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-2,93,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 9-2,241,
,Registered Voters,,,Wyandotte,Kansas City 9-3,1489,
,Ballots Cast,,,Wyandotte,Kansas City 9-3,686,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-3,19,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-3,525,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-3,134,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-3,21,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-3,519,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-3,6,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-3,120,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-3,12,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-3,19,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-3,473,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-3,145,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-3,157,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-3,510,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-3,512,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-3,143,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-3,507,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-3,155,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 9-3,546,
,Registered Voters,,,Wyandotte,Kansas City 9-4,226,
,Ballots Cast,,,Wyandotte,Kansas City 9-4,104,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-4,6,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-4,58,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-4,40,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-4,6,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-4,59,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-4,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-4,35,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-4,3,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-4,3,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-4,59,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-4,39,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-4,39,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-4,62,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-4,56,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-4,43,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-4,56,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-4,44,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 9-4,74,
,Registered Voters,,,Wyandotte,Kansas City 9-5,58,
,Ballots Cast,,,Wyandotte,Kansas City 9-5,30,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-5,2,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-5,6,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-5,22,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-5,1,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-5,7,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-5,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-5,22,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-5,0,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-5,3,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-5,5,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-5,22,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-5,21,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-5,9,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-5,9,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-5,21,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-5,8,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-5,22,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 9-5,11,
,Registered Voters,,,Wyandotte,Kansas City 9-6,987,
,Ballots Cast,,,Wyandotte,Kansas City 9-6,372,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-6,10,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-6,298,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-6,57,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-6,24,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 9-6,276,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 9-6,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 9-6,53,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 9-6,13,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 9-6,6,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 9-6,288,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 9-6,65,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 9-6,63,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 9-6,297,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 9-6,297,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 9-6,61,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 9-6,296,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 9-6,63,
Stan Frownfelter,State House,37,Democratic,Wyandotte,Kansas City 9-6,304,
,Registered Voters,,,Wyandotte,Kansas City 9-7,937,
,Ballots Cast,,,Wyandotte,Kansas City 9-7,377,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 9-7,9,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 9-7,226,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 9-7,140,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 9-7,11,
